,event_id,group,similarity,amplitude_ratio
148,20190116T093432Z,1791,0.6152887713477256,2.737225915533031
149,20190116T093613Z,699,0.912235541489463,0.8498827273699779
150,20190116T093629Z,1622,0.5828838424689207,1.4515459435240905
151,20190116T093903Z,1622,0.5136842336009045,0.5322841079290557
152,20190116T094427Z,1801,0.5073087187722591,0.36894527515031644
153,20190116T095026Z,1622,0.5035284951832394,0.4655673991327559
154,20190116T095731Z,1622,0.5126329560738296,0.4615821373170936
155,20190116T100255Z,1791,0.7626160888327538,0.6450593929045508
156,20190116T100627Z,1309,0.6255233252752881,1.2985138540545835
157,20190116T101000Z,1689,0.8845001976408083,0.461843047341273
158,20190116T101435Z,1309,0.7192970380929578,1.2175332953355673
159,20190116T101959Z,1057,0.6512811194094131,0.5283495465906602
160,20190116T102603Z,1801,0.7247967472320501,0.543298097005699
161,20190116T102712Z,1622,0.5399779562233172,0.49600824440867686
162,20190116T102757Z,1309,0.6005256535369553,1.1663654770238183
163,20190116T102903Z,1801,0.5497943240121531,0.3780720926529317
164,20190116T103118Z,1791,0.7882249412555135,0.7240546598925092
165,20190116T103223Z,699,0.506629932157748,0.2829816998702619
166,20190116T104204Z,1222,0.5032675990118988,0.1378891794062967
167,20190116T104450Z,1309,0.617629105823592,1.2372500599088219
168,20190116T104920Z,1622,0.5172899116967845,0.45163439234790076
169,20190116T105348Z,1801,0.526125400793347,0.3390767259740973
170,20190116T105736Z,1801,0.5390661745922882,0.36076326679520576
171,20190116T105949Z,1309,0.8495544843336619,1.3236288888607362
172,20190116T110041Z,1223,0.6307180084291354,0.31294091558694304
173,20190116T110139Z,1801,0.5066086079612429,0.7222228909267829
174,20190116T110210Z,1801,0.5200279837925201,0.544211834957053
175,20190116T110955Z,1801,0.5246298370337036,0.3315743196843338
176,20190116T111424Z,1057,0.7244538659683338,0.3192733766555166
177,20190116T112204Z,1801,0.652156719878682,0.44511398677314146
178,20190116T112510Z,1801,0.5645155056264975,0.3683029133896786
179,20190116T112559Z,1309,0.7211275433226998,1.2379258494363976
180,20190116T113118Z,1801,0.5415431635217933,0.36876337481902605
181,20190116T113756Z,1622,0.8465049321387096,0.8996264871107138
182,20190116T113841Z,1689,0.884203490579342,0.5771619140725446
183,20190116T114119Z,1622,0.5021943158963239,0.44685985974749726
184,20190116T114719Z,1057,0.7267913175892572,0.2242561612250527
185,20190116T115148Z,1801,0.5923753268144373,0.33577283558991317
186,20190116T115254Z,1309,0.547877363858713,1.11923438106123
187,20190116T115520Z,1309,0.7155577056778056,1.160769590045328
188,20190116T115743Z,1801,0.5039107044997139,0.3512507034874575
189,20190116T120558Z,1057,0.5622683807550487,0.19594613003140088
190,20190116T120719Z,1791,0.5340607612021101,0.6556059056748833
